1083534	3699744	58
1002873	1095366	35
1757206	3699744	58
3146816	3964641	77
3469193	3699744	58
884959	1095366	35
720573	983306	213
439740	483341	74
99607	1095366	35
2131919	1095366	35
276073	3601564	80
2574764	2663440	74
1506034	4431516	143
439740	656570	74
1771423	3699744	58
439740	3218063	74
2050212	4514417	6
3515944	157232	74
4155917	1095366	479
3715801	439740	71
1261396	1095366	35
3144761	3699744	58
3023131	439740	71
2366400	3226746	74
3297901	4514417	6
1942	2433272	72
2033230	3699744	58
3150866	1095366	47
1368498	301288	17
3459341	3699744	58
2804595	1095366	35
1812789	1095366	35
1048105	439740	52
3225393	1095366	46
3383133	1095366	35
3987835	439740	71
2319450	3699744	58
523537	3699744	58
4197918	3699744	58
1079291	3699744	58
4386656	4514417	6
822900	3699744	58
439740	1420835	74
1996142	4514417	6
864887	1095366	35
714856	4514417	6
2366400	431994	74
4345826	1095366	35
89640	3699744	58
1095366	3800122	63
2206424	1095366	35
4027406	439740	71
2719349	1095366	35
3515944	4316230	74
2911543	2366400	71
2671218	3699744	58
2531393	3209611	74
1095366	627531	151
2963839	1095366	35
3543483	3699744	58
3547933	3699744	58
307598	4559835	80
483341	2982991	32
4160359	3521545	74
1241838	3699744	58
763141	439740	71
4581818	3050276	17
4449898	3699744	58
1744765	1095366	35
2663848	439740	71
1681921	2366400	71
372068	1095366	17
4450064	2366400	71
4368880	1095366	46
4291627	439740	71
38516	1095366	35
3196905	3699744	58
1596879	3575674	440
3631006	3050276	17
3365958	1095366	35
4387811	2574764	71
3459341	1095366	35
1615304	1095366	35
1635088	3699744	58
3107200	439740	71
4239134	3699744	58
2561366	3699744	58
2982991	2634964	38
3939687	439740	71
1538254	3699744	58
905679	1095366	35
949115	439740	71
2422503	1095366	35
3960205	1991965	108
1865312	1076910	74
4492355	1095366	35
1095366	156205	63
466099	4514417	6
2497057	3515944	71
672988	3699744	58
327743	3699744	58
3365181	1095366	35
188664	3699744	58
2366400	2594414	74
3361261	3050276	17
4371113	1095366	35
439740	2320657	74
3032193	1095366	35
3939687	296980	79
3359324	4514417	6
2011871	173147	79
8186	3515944	71
2366400	3457283	74
640328	3699744	58
231740	3549899	77
2626063	3515944	71
1095366	696058	428
3444173	1095366	35
636286	1095366	35
2240857	4514417	6
1244154	1374611	31
4505068	1095366	35
3409388	3884348	74
3798532	3699744	58
2819118	3699744	58
1084043	62411	72
439740	292430	74
361	1095366	35
3515944	3334677	74
671946	1095366	35
1257796	1095366	35
1796507	4514417	6
3136221	2574764	71
3389144	2909204	80
2366400	3221141	74
2992811	4514417	6
3599444	1196493	87
3363943	3699744	58
3939687	3828375	79
2729052	4514417	6
154033	3699744	58
2241901	4160359	71
3814059	4514417	6
4444803	4514417	6
2738849	3699744	58
1275829	443435	38
3370899	4514417	6
2489104	1095366	35
346848	439740	71
2995954	1095366	35
2472241	439740	71
2887795	1095366	35
2661529	1095366	46
1082275	1095366	35
439740	3879986	74
1467498	2017762	80
4155917	1095366	89
3584719	3050276	17
2530132	4514417	6
293992	2666704	76
308305	2366400	71
2295583	1095366	35
2650677	3699744	58
439740	1764918	74
1800811	3699744	58
2457834	1095366	35
1459370	1095366	1375
1269216	1095366	35
680665	4514417	6
764661	3050276	17
2351698	3261391	456
2578183	1095366	35
50018	2574764	71
439740	1897095	74
2624071	1095366	35
1967967	3699744	58
1689407	3050276	17
2184571	1095366	35
4020008	3699744	58
2705023	2972474	17
4273880	1095366	35
1178416	439740	71
167128	1095366	35
3213954	1095366	35
555898	1095366	46
439740	1385319	74
572326	4102634	77
3219811	4160359	71
4122241	3699744	58
2620047	1611570	72
1744020	3699744	58
2368052	3699744	58
1928428	1831176	76
3964641	3146816	79
4423099	439740	75
1262605	4514417	6
2160820	2092996	16
4252288	1135588	174
1095366	1754923	63
2574764	3447337	74
3549899	633936	80
1095366	87649	63
2136465	1095366	35
2431197	2366400	71
1222714	3699744	58
3479762	1095366	46
2573709	1095366	35
609528	1095366	35
516878	1095366	35
4568590	3699744	58
166302	1348161	76
3171416	2574764	71
3032193	3699744	58
439740	3065405	74
4607627	3699744	58
3009395	439740	71
439740	3223970	74
3515944	1027510	74
1275829	3023131	38
465832	1095366	35
4416082	3253295	72
4262780	1095366	35
3515944	481604	74
3336150	3699744	58
813144	439740	52
4582000	2366400	71
2497057	525649	32
3515944	2594414	74
2826702	3699744	58
732907	3699744	58
2256442	818455	76
2555039	4514417	6
439740	2183575	74
944401	1095366	35
78459	3699744	58
4273880	3699744	58
2330432	439740	71
299282	3699744	58
2351225	4514417	6
1526264	2066125	76
3651518	287725	80
572326	498546	79
1275829	166302	38
819140	4514417	6
2941164	1095366	35
1070926	3050276	17
2030108	3515944	71
439740	2421710	74
1201259	3699744	58
1272846	3699744	58
439740	2832092	74
634232	4514417	6
3740743	1095366	35
3289502	439740	71
4388443	3699744	58
2990598	4514417	6
3704494	1095366	35
395013	1095366	35
2859029	3050276	17
2951150	3699744	58
71417	2574764	71
4090919	3699744	58
2416388	1095366	35
3223970	572326	79
3798808	301288	17
1683244	4514417	6
2871199	1095366	35
2634964	439740	71
1095366	3615687	63
2295583	3699744	58
670165	2183575	74
2214036	3699744	58
4207629	439740	52
1060404	1095366	35
3515944	495577	74
439740	1683244	74
4595851	4457709	73
792180	3699744	58
2574764	2045760	74
439740	327474	74
996066	4514417	6
2783126	3223970	79
4367397	3699744	58
3939687	804795	79
519603	1095366	35
2598236	3541358	80
3733730	3699744	58
4584629	3699744	58
2366400	611777	74
4262780	3699744	58
439740	2663848	74
3090848	3699744	58
439740	2968093	74
2138752	3699744	58
3957740	1095366	35
2824926	3699744	58
3134577	3699744	58
4637788	1095366	35
1596879	4152483	440
3209611	2531393	71
2787432	4514417	6
3610823	3699744	58
4304354	3515944	71
478478	3050276	17
2632731	2104295	423
1841680	1095366	35
2773877	3699744	58
2629564	525649	32
1386466	3347592	71
4316230	3515944	71
3152650	813144	76
3359324	622951	80
1331647	1095366	35
4114873	439740	71
431994	439740	71
3814059	439740	71
2366400	3597635	74
3515944	3883802	74
2149774	3699744	58
1644719	3699744	58
656570	2460622	76
4316230	4514417	6
3172293	3699744	58
4184000	3457283	72
4452865	1095366	35
1528907	3699744	58
4441521	3699744	58
2348861	3699744	58
1368498	1478775	80
3561429	1095366	35
217245	4514417	6
4431516	3699744	98
3964641	3847082	79
1095366	857644	18
1977968	3699744	58
735122	3050276	17
933508	1095366	35
1199431	3699744	58
4354551	439740	71
2952107	4514417	6
1800981	3050276	17
1183223	4514417	6
3549899	1861724	77
1325880	4590758	71
523647	2649668	72
2327853	3699744	58
2757628	3699744	58
439740	518447	74
3732874	1095366	35
4468499	1095366	35
2576184	1095366	35
1108746	1095366	512
3152158	3699744	58
2287070	1095366	35
2257763	2366400	71
1120486	439740	71
3984490	4595851	143
4158563	267288	72
